Letter ID,Full Text
ASCC 1005,"anbei ein Brief des Münchener Hofkapellmeisters Röhr und meine Antwort. Ich empfehle sein Anliegen gerne. Sie tun ja gewiss, was Sie können und was Sie für opportun halten. Bitte um Rücksendung der Briefe."
ASCC 1011,"besten Dank für die Durchfüh rung des Verkaufes meiner Völkerbundanleihe. Bitte sagen Sie auch Herrn Direktor Pra ger neuerlich meinen Dank. Den Betrag bitte ich Sie freundlichst umgehend auf mein Konto bei der Sparkasse der Stadt Mödling auf Konto-Nr. 772 für meine Rechnung ein zuzahlen. Ebendorthin bitte ich Sie den Saldo meiner diesmaligen Abrechnung einzuzahlen. Die se habe ich allerdings diesmal noch nicht erhalten, hoffe jedoch, sie bald zu sehen."
ASCC 1016,"Die Postsparkasse hat mir dies n e n Monat n noch nicht den Erlag der 150 Franken ge meldet. Ich lege Erlagscheine bei und bitte, entsprechendes zu veranlassen. Ferner: Ich reklamierte bei Herrn Englisch vor et etwa 4 Wochen wegen des Preises einer Notensendung ausserdem aber auch, we li il ein Band Liszt nicht mitgeschickt worden war. Darf ich um freundliche Er ledigung bitten?"
ASCC 1018,"meine Reklamation wegen der Liszt-Partituren ist aus der mir geschick ten Rechnung Nr. 37.923 v. 19.12.23 zu ver stehen, wonach mir bloss zwei Bände (Nr. 1 u. 2) ver rechnet und gesendet wurden . während ich selb selbstverständlich alle drei brauche und auch bestellt hatte. Darf ich Sie also um die Freundlichkeit bitten, diese Nachsendung zu veranlassen."
ASCC 1040,"anbei Rufers Antwort. Wenn Schulz-Dornburg immer verschoben hat, finde ich dass Rufer gerechtfertigt ist. Jedenfalls hat er in gutem Glauben gehandelt!"
ASCC 1050,muss morgen telegrafisch angemeldeten doktor bach erwarten moechte dafuer freitag zu ihnen kommen drahtet ob moeglich gruesse
ASCC 1051,"Auf Ihre Anfrage teile ich Ihnen mit, dass meine Adresse seit März 1918 unver ändert die obenstehende ist. Eine Geldsendung bitte ich Goldmarknoten oder in einem Goldmarkschek an mich ge langen zu lassen."
ASCC 1077,"ich war verreist und kann darum erst heute Ihre Karte vom 21. beantworten Die Stimmen meines Bläserquintetts: Klarinette und Horn sollen nicht transponiert sondern so geschrieben werden, wie sie bei mir stehen. Und zwar aus folgenden Gründen: 1. hoffe ich durchzusetzen, dass die Musiker C-Stimmung blasen lernen. 2. Wäre es aber im Notfall leichter und verläss licher, die Transposition nach der bereits aus geschriebenen und korrigierten Stimme vornehmen zu lassen; und das 3. am besten durch den Bläser, der die Urauf führung bläst. Ich hoffe aber, wie gesagt, dass sich das in kürzester Zeit durchsetzen wird und damit wä re sehr viel gewonnen."
ASCC 1099,"anbei mit bestem Dank die Abschrift des Briefes an Lipsky. Ich war von vornherein überzeugt, dass sich die Sache so auf diese Art aufklären wird. Das ist allerdings ziemlich krass und es zeigt sich wieder, dass es mit der gerühmten deutschen Solidität nicht so weit her ist. Besten Dank für Ihre Bemühung, in mir die Adresse Einsteins zu verschaffen. Wäre es Ihnen möglich, eine Verbindung zwischen E. und mir herzustellen? Ich möchte gerne mit ihm über einiges sprechen."
ASCC 1110,"ich kann nicht begreifen, welche Ursache Herr von Wöss hat, mich zu provozieren, indem er meine ausdrücklich angegebenen Stichverbesserungen verhindert ( , die jeder vernünftige Mensch in der ganzen Welt kopiert). Ich habe mich gegen Herrn v. Wöß stets freundlich und zuvorkommend gezeigt und ihm zu solchem persönlichen Vorgehen keinen Grund gegeben. Sachlich ist, was er tut, voll kommener Unsinn und bloße lächer liche, überlebte Geschmackigkeit. Darüber diskutiere ich mit ihm nicht. Bin aber bereit, es ihm zu erklären! Wenn ich heute gegen ein solches Vorgehen protestieren muss und dringend ersuchen muss, Herrn v. Wöß keine meiner Arbeiten mehr anzuvertrauen, so handelt es sich mir nicht um Prestige (was auch nicht unwesentlich ist,) sondern um meine Ruhe und Zeit: ich mag mich 1.) nicht unnütz ärgern und muss mich 2) darauf verlassen können, dass diese Dinge automatisch befolgt werden.In diesem Fall ist besonders erschwerend, dass ich Stichanweisungen und Anmerkungen beigefügt habe, welche berücksichtigt werden müssten. Außerdem lag mein Manuskript vor, in das Herr v. Wöß sich erlaubt hat, Än derungen einzutragen! Ich lehne es ab, diese Korrektur zu lesen, ehe sie nicht genauest manuskripttreu und meinen Anweisungen entsprechend gestochen ist. Es tut mir leid, Ihnen die Aus gabe nicht ersparen zu können. Aber zu meiner Sicherheit und wegen meiner etwas zu kostbaren Zeit, ist es doch nötig, dass ich die Launen des Herrn von Wöß abwehre."
ASCC 1112,"darf ich Sie sehr bitten, mir mein Monatsgeld (500 Goldmark) durch meinen Sohn Georg Schönberg bereits (wenn möglich) heute zu schicken. Sollten Sie das zufällig nicht können, dann geb n e n Sie ihm, bitte, einen Teil mit; er wird dann den Rest morgen vormittag holen."
ASCC 1126,"ich glaube es ist am Besten, wenn ich Ihnen mein Anliegen schriftlich mitteile. Ich brauche im März und im April – vor unserer spanischen Tournee – je 2000 Schillinge und bitte Sie, mir diese Vorschüsse entweder auf meine laufende Jahresabrechnung oder, was mir lieber wäre, in etwas gestreckterer Verrechnung (so wie früher, als meine EingängeL noch geringer waren) zu bewilligen. Ich hoffe umso sicherer, dass Sie mir hiebei keine Schwierigkeiten machen werden, als ich ja während unserer langen Besprechungen übervun die Regulierung unserer Verträge stets als Bedingung gestellt habe, dass ich einen „Jahresbetrag“ im Notfall von Ihnen als Vorschuss bekomm m en können muss, was Sie mir auch in manchen der seinerzeitigen Vertragsent würfe auch zugestanden haben. Aber ich bin überzeugt, dass diese Erinnerung nicht nötig ist und dass ich darauf rechnen darf, dass Ihre mir oft bezeugte Freundschaft allein mir genügend Garantie sein kann, dass ich auch diesmal keine Fehlbitte tun werde. Sie wissen, dass ich augenblicklich grosse Lasten auf mir habe, da die allgemein schwierig r e Erwerbslage es meinen von mir abhängigen Angehörigen schwer macht, sich selbst zu erhalten; Sie wissen auch selbst, dass ich grosse Ausfälle gehabt habe und dass eben auch die letzte Anstrengung meiner Gegner immerhin insoferne ei nige materielle Erfolgre erzielt hat, als sie die mein e igen hin dert. Ich denke: bis zum Ende dieser Saison wird auch dieser Kampf zu meinen Gunsten entschieden sein und die allgemeine Lage sich gebessert haben. Dann bin ich wieder obenauf. Ich verdiene ja in fünf oder sechs Engagements das was mir fehlt! Ich möchte gerne morgen Dienstag oder übermorgen Mittwoch nach mittags zu Ihnen kommen und bitte Sie mir eventuell telephonisch sagen zu lassen, ob Ihnen das recht ist."
ASCC 1133,"anbei eine Rechnung des Dr , . Reines. Eine andere vom Sanatorium Wiener Curanstalt erhalten Sie in diesen Tagen. Das . sind dann die beiden Rechnungen, deren Begleichung durch die UE ich letzt hin mit dem Herrn Direktor verabredet habe. Besten Dank für die Bereitstellung meines Monatsgeldes. NB. Ich habe neulich ein Blatt Probe druck meiner „Gl. Hand“ mit kritischen An weisungen an Sie geschickt. Es ist unge fähr 10 Tage her und ich habe noch keinen neuen Probedruck bekommen. Es ist mir unbegreiflich, wieso das wieder falsch gemacht wer den konnte! Ich möchte gerne das noch vor meiner Abreise in Ordnung gebracht wissen."
